"id","outcome_anxiety","treatment_cellphone","race","gender","income"
109,0,1,"Black","Female","Low"
110,1,0,"White","Male","High"
111,1,1,"White","Female","Medium"
112,0,1,"White","Female","Low"
113,1,0,"White","Male","Low"
114,0,1,"Black","Male","Low"
115,0,0,"White","Female","Low"
116,0,0,"White","Female","High"
117,0,0,"White","Male","Medium"
118,0,0,"Other","Male","Medium"
119,0,0,"White","Male","Low"
120,0,1,"White","Female","Medium"
121,0,1,"White","Female","Medium"
122,0,0,"Black","Female","Low"
123,0,1,"White","Male","High"
124,1,1,"White","Female","Low"
125,0,1,"Black","Male","High"
126,1,1,"White","Male","Medium"
127,1,1,"White","Male","Low"
128,0,1,"White","Male","Medium"
129,0,0,"White","Male","High"
130,0,0,"Black","Female","Medium"
131,0,0,"Other","Male","High"
132,0,0,"White","Female","High"
133,0,0,"White","Male","Low"
134,0,0,"White","Female","Medium"
135,0,0,"White","Female","Low"
136,0,0,"White","Female","Low"
137,0,0,"White","Male","Medium"
138,1,1,"White","Female","High"
139,1,0,"Other","Female","High"
140,0,1,"White","Female","Low"
141,0,1,"Black","Female","Low"
142,0,1,"Other","Male","High"
143,0,1,"White","Female","Low"
144,0,0,"White","Male","Medium"
145,1,0,"White","Female","High"
146,0,1,"White","Female","High"
147,0,0,"White","Male","High"
148,0,1,"White","Female","High"
149,1,1,"White","Female","Low"
150,1,0,"White","Female","Low"
151,0,1,"White","Female","Low"
152,0,0,"Black","Male","Low"
153,1,0,"White","Male","High"
154,1,1,"White","Female","Medium"
155,0,1,"Black","Male","Medium"
156,1,1,"White","Female","Medium"
157,0,0,"White","Female","Medium"
158,0,0,"Black","Male","High"
159,0,1,"White","Male","Medium"
160,0,0,"White","Male","Low"
161,0,1,"White","Male","Medium"
162,1,1,"White","Male","Low"
163,0,1,"White","Male","Medium"
164,0,1,"White","Female","High"
165,0,0,"White","Female","Low"
166,0,1,"White","Female","Low"
167,0,0,"White","Male","High"
168,0,1,"White","Female","High"
169,0,0,"Other","Male","Low"
170,0,0,"Other","Male","High"
171,1,1,"White","Female","Low"
172,1,1,"White","Female","High"
173,1,1,"Black","Female","High"
174,0,0,"White","Male","Medium"
175,0,0,"White","Female","Medium"
176,0,1,"Black","Male","High"
177,0,0,"White","Female","High"
178,1,1,"Black","Male","Medium"
179,0,1,"White","Female","Low"
180,1,1,"Black","Male","Low"
181,1,1,"White","Female","High"
182,1,1,"White","Male","High"
183,0,0,"White","Female","Low"
184,1,1,"White","Male","Medium"
185,1,1,"White","Female","Medium"
186,0,1,"Other","Female","Medium"
187,0,1,"White","Female","High"
188,0,1,"Black","Male","Low"
189,0,0,"White","Female","Low"
190,0,1,"White","Female","Low"
191,0,1,"Black","Male","Low"
192,0,0,"Other","Male","Medium"
193,0,0,"White","Female","Low"
194,0,0,"Other","Female","Medium"
195,1,0,"Black","Male","Medium"
196,0,0,"Other","Male","High"
197,0,1,"White","Male","Medium"
198,0,0,"White","Female","High"
199,0,0,"White","Female","Medium"
200,1,0,"White","Female","High"
201,0,0,"White","Female","Low"
202,0,1,"Black","Female","Low"
203,0,0,"Other","Female","Low"
204,0,0,"White","Male","Low"
205,0,0,"White","Female","Medium"
206,0,0,"Other","Female","High"
207,0,0,"White","Male","Medium"
208,0,1,"White","Male","High"
209,0,0,"White","Male","Low"
210,0,1,"Black","Female","Low"
211,1,1,"White","Female","Low"
212,0,0,"Black","Female","Medium"
213,0,1,"White","Female","High"
214,0,1,"White","Male","Medium"
215,0,0,"Black","Female","Low"
216,1,0,"Black","Male","High"
217,1,1,"White","Female","High"
218,1,1,"Black","Male","High"
219,0,1,"White","Male","Low"
220,0,1,"White","Male","Low"
221,0,1,"White","Female","Medium"
222,0,1,"White","Female","High"
223,1,1,"Other","Male","Low"
224,0,1,"White","Female","Low"
225,0,0,"White","Female","Low"
226,0,0,"White","Male","Medium"
227,1,0,"White","Female","Low"
228,1,1,"Black","Female","Low"
229,0,0,"White","Female","Medium"
230,1,1,"White","Male","High"
231,0,0,"White","Female","Low"
232,0,0,"Other","Male","Medium"
233,0,1,"White","Male","Medium"
234,0,1,"White","Female","Low"
235,0,1,"White","Male","Medium"
236,1,0,"White","Female","Low"
237,0,0,"White","Male","High"
238,1,1,"White","Female","High"
239,1,1,"White","Male","Medium"
240,0,0,"White","Male","Low"
241,0,1,"White","Male","Medium"
242,1,1,"Black","Male","Medium"
243,0,0,"White","Female","Low"
244,0,1,"White","Male","High"
245,1,1,"White","Female","Medium"
246,0,0,"White","Female","Low"
247,0,0,"Black","Female","Medium"
248,0,0,"White","Female","Medium"
249,0,0,"White","Female","High"
250,0,1,"White","Male","Low"
251,0,1,"White","Female","High"
252,0,1,"White","Female","Medium"
253,0,0,"Black","Female","Medium"
254,0,1,"Other","Male","High"
255,0,1,"White","Male","Low"
256,1,1,"White","Male","High"
257,1,0,"White","Female","Medium"
258,1,1,"Other","Female","High"
259,0,0,"White","Male","Medium"
260,0,1,"White","Male","High"
261,1,1,"White","Female","High"
262,0,0,"White","Female","Low"
263,0,0,"Other","Male","High"
264,0,0,"White","Female","Medium"
265,0,0,"Other","Male","Medium"
266,0,1,"Other","Male","Low"
267,0,1,"White","Male","High"
268,0,1,"White","Female","High"
269,0,1,"Black","Male","Medium"
270,0,1,"White","Male","Low"
271,0,0,"Other","Male","High"
272,0,0,"White","Female","Low"
273,0,0,"White","Male","Low"
274,0,0,"White","Female","Medium"
275,0,1,"White","Female","Low"
276,0,1,"White","Female","High"
277,1,0,"White","Female","Low"
278,0,1,"White","Female","Medium"
279,0,0,"White","Female","High"
280,0,1,"White","Male","Medium"
281,0,1,"White","Female","High"
282,0,0,"White","Male","Low"
283,0,0,"White","Male","Low"
284,0,1,"White","Male","Medium"
285,0,1,"Black","Male","High"
286,0,1,"Black","Female","High"
287,0,0,"White","Female","Low"
288,1,1,"Black","Male","High"
289,0,1,"White","Female","High"
290,0,1,"Black","Female","Medium"
291,0,0,"White","Male","Low"
292,1,0,"White","Male","Low"
293,0,0,"Black","Female","High"
294,0,1,"White","Female","Medium"
295,0,1,"White","Female","Medium"
296,1,1,"White","Male","High"
297,0,1,"White","Male","High"
298,0,1,"White","Female","Medium"
299,1,0,"White","Female","Low"
300,0,0,"Black","Male","High"
301,0,0,"White","Male","High"
302,0,0,"White","Female","Low"
303,0,0,"White","Female","High"
304,0,1,"White","Female","Medium"
305,0,0,"Other","Female","High"
306,0,0,"White","Male","High"
307,0,1,"White","Female","High"
308,1,0,"White","Female","Medium"
309,0,0,"White","Male","High"
310,0,0,"Black","Male","Low"
311,0,1,"White","Female","Medium"
312,0,1,"White","Male","High"
313,0,1,"White","Female","Medium"
314,1,1,"Black","Male","Low"
315,0,1,"White","Male","High"
316,0,0,"White","Male","High"
317,0,0,"Black","Male","Medium"
318,0,1,"White","Female","High"
319,0,1,"White","Female","Low"
320,0,0,"White","Male","High"
321,1,0,"White","Male","Medium"
322,0,0,"White","Female","Low"
323,0,0,"White","Female","High"
324,0,0,"White","Male","Low"
325,0,1,"White","Male","Low"
326,0,1,"White","Female","Medium"
327,0,1,"White","Male","Low"
328,0,0,"White","Male","Medium"
329,0,0,"White","Male","High"
330,0,0,"Other","Female","High"
331,0,1,"White","Male","High"
332,0,1,"White","Male","High"
333,0,0,"White","Female","Medium"
334,1,0,"White","Male","High"
335,0,0,"White","Male","Medium"
336,0,0,"White","Male","Low"
337,0,1,"White","Male","High"
338,1,1,"White","Male","Medium"
339,0,1,"Black","Male","Medium"
340,0,0,"White","Female","Low"
341,0,0,"White","Female","Low"
342,1,1,"Other","Female","Low"
343,0,1,"Black","Male","High"
344,0,1,"White","Female","Low"
345,0,1,"White","Female","Low"
346,0,1,"White","Female","Medium"
347,0,0,"White","Male","High"
348,0,1,"White","Female","Medium"
349,0,1,"White","Female","Low"
350,0,1,"White","Female","Medium"
351,0,0,"Other","Male","High"
352,0,1,"White","Male","Low"
353,0,1,"White","Male","High"
354,0,1,"White","Male","Medium"
355,0,0,"Black","Female","Low"
356,1,1,"Black","Female","High"
357,0,0,"White","Female","High"
358,1,0,"Black","Female","Low"
359,0,1,"White","Female","Medium"
360,0,0,"White","Male","Medium"
361,0,0,"White","Male","High"
362,0,0,"White","Male","Low"
363,0,0,"White","Male","High"
364,1,0,"Other","Female","High"
365,0,1,"White","Female","Medium"
366,0,0,"White","Female","Low"
367,0,0,"White","Female","Low"
368,0,0,"White","Female","Low"
369,1,1,"White","Male","High"
370,0,0,"White","Male","Medium"
371,0,0,"White","Male","High"
372,0,0,"White","Female","High"
373,0,0,"White","Female","Low"
374,0,1,"White","Female","Medium"
375,0,1,"Other","Female","Medium"
376,1,1,"White","Male","Medium"
377,1,1,"White","Female","Low"
378,0,1,"White","Female","Medium"
379,0,0,"White","Female","High"
380,0,1,"White","Female","Medium"
381,0,1,"White","Female","Medium"
382,0,0,"Black","Female","High"
383,0,0,"White","Female","Medium"
384,0,0,"White","Female","Medium"
385,0,0,"Other","Male","Low"
386,0,1,"White","Female","Low"
387,1,0,"White","Male","Medium"
388,0,0,"White","Female","High"
389,1,1,"Black","Female","Medium"
390,0,1,"Other","Female","High"
391,0,1,"Black","Male","Medium"
392,0,1,"White","Male","Medium"
393,0,0,"White","Male","High"
394,0,0,"White","Female","Low"
395,0,0,"White","Male","High"
396,0,0,"White","Male","High"
397,0,1,"White","Female","Medium"
398,1,1,"White","Female","Low"
399,0,1,"Other","Female","High"
400,0,1,"White","Female","Low"
401,0,1,"White","Male","Low"
402,0,0,"White","Male","Medium"
403,0,1,"White","Female","Low"
404,0,0,"White","Female","Medium"
405,1,1,"Black","Female","High"
406,1,1,"Other","Female","Medium"
407,0,0,"Black","Female","Medium"
408,1,1,"White","Female","High"
409,1,1,"White","Female","Low"
410,0,1,"Black","Female","Medium"
411,0,1,"White","Male","Low"
412,0,1,"White","Male","High"
413,1,1,"White","Female","Medium"
414,0,1,"White","Male","Low"
415,0,0,"Other","Male","Low"
416,0,0,"White","Female","High"
417,0,1,"White","Female","High"
418,1,1,"White","Male","Medium"
419,1,1,"White","Female","Low"
420,0,1,"White","Male","High"
421,0,1,"White","Female","Low"
422,0,0,"White","Male","Low"
423,0,1,"White","Male","Low"
424,0,0,"White","Male","Medium"
425,1,0,"White","Female","Low"
426,0,0,"White","Male","Low"
427,0,1,"Other","Female","High"
428,1,1,"White","Female","Low"
429,0,0,"White","Female","Low"
430,0,0,"Other","Female","Medium"
431,0,1,"White","Female","Medium"
432,0,0,"Black","Male","Medium"
433,0,0,"White","Male","High"
434,0,0,"White","Female","Medium"
435,0,0,"White","Female","Medium"
436,0,1,"White","Female","Low"
437,0,0,"White","Male","Medium"
438,0,1,"Other","Male","High"
439,0,1,"White","Male","Medium"
440,0,0,"White","Male","High"
441,0,0,"White","Female","Low"
442,0,1,"White","Female","Medium"
443,0,0,"Other","Male","Low"
444,0,1,"Black","Male","Low"
445,0,0,"Other","Female","Low"
446,0,0,"White","Male","Low"
447,0,1,"White","Female","Medium"
448,0,0,"White","Male","Medium"
449,0,1,"White","Female","Low"
450,0,1,"White","Female","Low"
451,0,1,"White","Female","Low"
452,1,0,"White","Male","Medium"
453,0,0,"White","Female","High"
454,0,0,"White","Female","Low"
455,0,0,"White","Female","Medium"
456,0,1,"White","Male","Low"
457,1,1,"White","Female","Low"
458,1,1,"Black","Male","Medium"
459,0,0,"White","Male","High"
460,0,0,"White","Male","Medium"
461,0,0,"White","Female","Low"
462,1,1,"Other","Male","Low"
463,1,0,"Other","Female","Low"
464,0,1,"White","Female","High"
465,0,1,"White","Male","High"
466,0,0,"White","Female","High"
467,0,1,"White","Female","Low"
468,0,0,"White","Male","Low"
469,0,0,"White","Female","Medium"
470,1,0,"Black","Male","Low"
471,0,1,"White","Male","Low"
472,1,1,"White","Male","High"
473,0,0,"White","Female","Medium"
474,0,0,"White","Female","Low"
475,0,1,"Other","Male","Low"
476,0,0,"White","Male","High"
477,1,1,"White","Female","Low"
478,0,1,"White","Female","High"
479,0,0,"White","Female","Low"
480,0,0,"White","Male","Medium"
481,0,1,"White","Male","High"
482,0,1,"Black","Female","Low"
483,0,1,"Black","Female","Medium"
484,0,0,"White","Male","High"
485,0,0,"White","Male","Medium"
486,1,1,"White","Male","Medium"
487,0,0,"White","Female","Low"
488,1,1,"White","Female","Low"
489,0,0,"White","Female","Low"
490,0,0,"Black","Male","Medium"
491,0,1,"White","Female","High"
492,1,0,"Black","Female","High"
493,0,1,"Black","Male","High"
494,0,1,"Other","Female","Medium"
495,0,0,"White","Female","Low"
496,1,0,"White","Male","Low"
497,0,1,"White","Female","Medium"
498,0,1,"White","Male","Medium"
499,0,1,"Other","Male","High"
500,0,0,"White","Male","Low"
501,0,1,"White","Male","Low"
502,0,0,"Black","Female","Low"
503,0,1,"White","Female","Low"
504,0,0,"White","Female","Low"
505,1,1,"White","Female","High"
506,1,1,"White","Female","Low"
507,0,1,"White","Male","Low"
508,0,0,"White","Male","Medium"
509,0,0,"Black","Male","High"
510,0,0,"Other","Male","High"
511,0,1,"White","Male","Medium"
512,0,0,"White","Male","High"
513,0,0,"White","Male","Low"
514,0,0,"White","Female","Low"
515,0,1,"White","Male","Medium"
516,0,0,"White","Male","High"
517,1,0,"White","Male","Medium"
518,0,1,"White","Male","Low"
519,0,0,"Black","Male","High"
520,0,1,"White","Male","High"
521,0,1,"White","Male","High"
522,0,1,"White","Male","High"
523,0,0,"White","Male","High"
524,0,0,"White","Female","High"
525,0,1,"Other","Male","Medium"
526,1,1,"White","Male","High"
527,0,0,"White","Male","Low"
528,0,1,"White","Male","High"
529,0,0,"White","Male","Medium"
530,0,0,"White","Female","Low"
531,1,0,"White","Female","Low"
532,0,1,"White","Female","Low"
533,0,0,"White","Female","Medium"
534,0,1,"Other","Male","Medium"
535,0,1,"White","Male","High"
536,0,1,"White","Male","Medium"
537,0,1,"White","Male","High"
538,0,0,"White","Female","Medium"
539,0,0,"White","Female","Low"
540,0,1,"Black","Female","Medium"
541,0,1,"White","Male","High"
542,0,0,"White","Female","Low"
543,0,1,"White","Female","Medium"
544,0,1,"White","Male","Medium"
545,0,0,"White","Male","Low"
546,0,1,"White","Male","Low"
547,0,0,"Black","Female","High"
548,0,0,"White","Female","Medium"
549,0,0,"White","Female","Low"
550,0,1,"White","Female","Low"
551,0,1,"White","Male","Medium"
552,0,1,"White","Female","Medium"
553,0,1,"White","Female","Low"
554,0,0,"Black","Male","Low"
555,0,1,"Other","Female","Low"
556,1,1,"White","Male","Medium"
557,0,0,"White","Female","Medium"
558,1,0,"White","Female","High"
559,0,0,"White","Female","High"
560,0,1,"White","Male","High"
561,0,1,"White","Female","High"
562,0,0,"Black","Male","High"
563,0,0,"White","Male","Low"
564,0,1,"White","Male","Medium"
565,0,1,"White","Female","Low"
566,0,0,"White","Female","Low"
567,0,0,"White","Male","High"
568,0,0,"White","Male","Medium"
569,0,1,"White","Female","Low"
570,0,1,"Other","Female","Low"
571,0,0,"White","Male","High"
572,1,1,"White","Male","Low"
573,0,1,"Black","Female","Low"
574,0,0,"White","Male","Low"
575,0,0,"White","Male","Low"
576,0,0,"White","Female","Medium"
577,0,1,"White","Male","High"
578,1,1,"White","Male","High"
579,0,1,"White","Male","Medium"
580,1,1,"White","Female","Low"
581,0,0,"Black","Male","High"
582,0,0,"White","Male","High"
583,0,0,"Black","Female","Low"
584,1,1,"White","Female","Low"
585,0,0,"White","Male","Medium"
586,0,1,"Black","Male","Medium"
587,0,1,"White","Female","Low"
588,0,0,"White","Male","Medium"
589,1,0,"White","Female","High"
590,0,1,"Other","Female","Medium"
591,0,0,"Other","Female","High"
592,0,0,"White","Male","Low"
593,0,0,"White","Female","Low"
594,0,0,"White","Female","Medium"
595,0,0,"White","Male","Medium"
596,0,0,"White","Male","High"
597,1,1,"White","Male","High"
598,1,0,"White","Female","High"
599,1,1,"White","Male","Medium"
600,0,0,"Other","Female","High"
601,0,0,"White","Male","Low"
602,0,1,"White","Female","Medium"
603,1,0,"White","Male","High"
604,0,0,"White","Female","Medium"
605,0,1,"White","Female","High"
606,0,0,"Other","Male","Low"
607,0,0,"White","Female","Medium"
608,0,1,"White","Male","Low"
609,0,1,"White","Male","Medium"
610,0,0,"White","Female","Medium"
611,0,1,"White","Female","Medium"
612,0,0,"White","Male","Medium"
613,0,0,"Black","Male","Low"
614,1,1,"White","Male","Medium"
615,0,0,"White","Female","Low"
616,0,1,"White","Female","Medium"
617,0,0,"White","Female","Low"
618,0,0,"Other","Female","Medium"
619,0,0,"Black","Male","Medium"
620,0,1,"White","Female","High"
621,0,1,"White","Female","Medium"
622,0,0,"White","Female","Low"
623,0,0,"Black","Female","High"
624,0,0,"White","Male","High"
625,0,0,"White","Male","Low"
626,0,0,"Black","Female","Medium"
627,0,0,"White","Male","Low"
628,1,1,"White","Male","Medium"
629,0,0,"White","Male","High"
630,0,0,"White","Male","Low"
631,0,0,"White","Male","High"
632,0,1,"White","Male","Medium"
633,0,1,"White","Male","Medium"
634,0,1,"White","Female","Low"
635,0,1,"Black","Female","Medium"
636,0,0,"White","Female","Low"
637,0,0,"Other","Male","Medium"
638,0,0,"Other","Female","Low"
639,0,1,"White","Male","Medium"
640,1,1,"Black","Female","High"
641,0,1,"White","Male","Low"
642,0,1,"Black","Female","High"
643,0,0,"Black","Male","Low"
644,0,0,"White","Female","High"
645,0,0,"White","Female","Medium"
646,0,0,"Black","Male","High"
647,0,0,"White","Female","High"
648,0,1,"White","Male","Low"
649,0,0,"White","Male","Low"
650,0,0,"White","Male","Medium"
651,0,1,"White","Male","High"
652,0,0,"Other","Female","Low"
653,0,0,"White","Female","High"
654,0,1,"Black","Male","Low"
655,0,1,"White","Male","Low"
656,1,0,"Black","Female","High"
657,1,0,"White","Female","High"
658,1,1,"White","Female","Low"
659,0,0,"White","Male","Low"
660,0,0,"White","Male","High"
661,0,1,"Black","Male","High"
662,0,1,"White","Female","Medium"
663,0,1,"Other","Female","High"
664,0,0,"White","Female","Medium"
665,0,1,"White","Male","High"
666,0,1,"White","Female","Low"
667,1,1,"White","Female","Low"
668,0,1,"White","Male","Low"
669,0,0,"White","Female","Low"
670,0,1,"Other","Female","High"
671,0,1,"White","Male","High"
672,0,1,"White","Male","Low"
673,1,0,"White","Male","Medium"
674,0,0,"White","Female","Low"
675,0,1,"White","Male","High"
676,0,1,"Other","Female","Low"
677,0,1,"White","Male","High"
678,0,1,"White","Female","Medium"
679,0,1,"White","Female","Medium"
680,0,0,"White","Male","High"
681,0,1,"White","Female","Low"
682,0,0,"White","Male","High"
683,0,1,"White","Female","Low"
684,0,1,"White","Female","High"
685,0,0,"White","Female","High"
686,1,1,"White","Male","Low"
687,0,0,"Other","Male","High"
688,0,1,"White","Male","Low"
689,0,0,"Other","Female","High"
690,1,1,"White","Male","High"
691,0,1,"White","Female","High"
692,1,0,"White","Male","High"
693,0,1,"Other","Female","Low"
694,1,1,"White","Female","High"
695,0,0,"Black","Female","Low"
696,0,0,"White","Male","Medium"
697,0,0,"White","Male","Low"
698,0,0,"White","Male","Low"
699,1,1,"Black","Male","Low"
700,0,1,"White","Female","High"
701,0,0,"White","Female","High"
702,0,1,"White","Male","Low"
703,0,0,"White","Male","High"
704,0,0,"White","Female","Low"
705,0,0,"White","Male","High"
706,0,1,"Black","Female","Low"
707,1,1,"Other","Female","High"
708,0,0,"Other","Female","Low"
709,0,0,"White","Female","High"
710,0,1,"White","Female","High"
711,0,1,"White","Female","Low"
712,1,0,"Other","Female","High"
713,0,0,"Black","Female","Medium"
714,1,0,"White","Female","Low"
715,0,1,"White","Female","Medium"
716,0,0,"White","Female","Medium"
717,0,1,"White","Female","Low"
718,0,1,"White","Female","High"
719,1,0,"Black","Female","Medium"
720,0,0,"White","Female","Medium"
721,0,0,"White","Female","Low"
722,0,0,"White","Female","Medium"
723,0,0,"Black","Female","Low"
724,1,0,"White","Female","Medium"
725,0,0,"White","Male","Low"
726,0,0,"White","Female","Low"
727,0,0,"Black","Female","Medium"
728,0,0,"Black","Female","Low"
729,0,1,"White","Female","High"
730,1,1,"White","Female","Low"
731,0,0,"White","Male","Medium"
732,0,1,"White","Female","Medium"
733,0,0,"White","Female","Low"
734,0,0,"White","Female","Low"
735,0,0,"Other","Female","Medium"
736,0,0,"White","Female","Medium"
737,0,0,"Black","Male","Medium"
738,0,0,"White","Female","High"
739,0,0,"White","Male","Low"
740,0,1,"White","Male","High"
741,0,1,"White","Male","High"
742,0,0,"Black","Female","Low"
743,1,0,"Black","Male","Medium"
744,0,1,"Black","Male","High"
745,1,1,"White","Male","High"
746,1,1,"White","Male","Low"
747,0,0,"White","Female","High"
748,0,1,"White","Male","Low"
749,0,1,"White","Female","Medium"
750,0,0,"White","Male","High"
751,0,0,"White","Female","High"
752,1,0,"Black","Female","Medium"
753,0,1,"White","Female","High"
754,0,0,"White","Male","Low"
755,0,0,"White","Male","Medium"
756,0,0,"Black","Female","High"
757,1,0,"White","Male","Medium"
758,0,1,"Black","Male","Medium"
759,0,1,"White","Male","Low"
760,0,1,"Black","Male","Low"
761,0,1,"White","Female","Low"
762,0,0,"Black","Male","Low"
763,0,1,"White","Female","Low"
764,0,1,"White","Male","Medium"
765,0,0,"Other","Male","Low"
766,0,0,"White","Male","High"
767,0,1,"Black","Female","Low"
768,0,0,"White","Male","Medium"
769,0,1,"White","Female","High"
770,1,1,"White","Male","Low"
771,0,0,"White","Male","High"
772,0,0,"White","Male","Low"
773,0,0,"White","Male","Low"
774,1,0,"White","Male","High"
775,0,0,"Other","Male","Low"
776,0,0,"Black","Male","Medium"
777,0,1,"White","Female","Low"
778,0,0,"Black","Female","High"
779,0,1,"White","Male","Low"
780,0,1,"Other","Female","Low"
781,0,1,"White","Female","High"
782,1,0,"White","Female","Low"
783,0,1,"White","Female","High"
784,0,0,"Other","Female","Low"
785,0,0,"White","Female","Medium"
786,0,1,"White","Female","Low"
787,1,0,"White","Female","High"
788,1,1,"White","Female","Low"
789,1,1,"Black","Female","Medium"
790,1,1,"White","Female","Low"
791,0,0,"Other","Male","Medium"
792,1,1,"White","Female","High"
793,0,0,"White","Male","High"
794,1,0,"White","Male","Medium"
795,0,0,"Other","Male","Low"
796,0,1,"White","Male","High"
797,0,0,"White","Male","High"
798,1,1,"White","Female","High"
799,1,1,"White","Female","Low"
800,0,1,"White","Male","High"
801,0,0,"Black","Female","Low"
802,0,0,"White","Male","High"
803,0,1,"White","Male","Medium"
804,0,0,"Other","Female","High"
805,0,0,"Black","Male","Low"
806,0,0,"White","Female","Medium"
807,0,0,"White","Female","Low"
808,0,1,"White","Male","Medium"
809,0,1,"Black","Female","High"
810,0,1,"White","Female","Low"
811,0,0,"White","Female","High"
812,0,0,"Other","Male","Medium"
813,0,0,"White","Male","Low"
814,1,1,"White","Male","Medium"
815,0,1,"White","Male","Medium"
816,0,0,"White","Male","Medium"
817,0,1,"White","Female","Low"
818,0,1,"White","Male","Medium"
819,0,0,"White","Male","Medium"
820,0,0,"White","Male","High"
821,0,0,"White","Male","Low"
822,1,1,"White","Male","High"
823,1,1,"Black","Female","Low"
824,1,1,"White","Female","Medium"
825,0,0,"White","Male","High"
826,0,1,"White","Female","High"
827,0,1,"Black","Female","Low"
828,0,0,"Other","Male","Low"
829,0,0,"White","Male","Low"
830,0,1,"White","Male","Low"
831,0,0,"White","Female","High"
832,0,1,"White","Female","Low"
833,1,0,"Black","Male","Low"
834,0,0,"White","Male","Medium"
835,0,0,"White","Male","Low"
836,0,1,"White","Female","Medium"
837,0,0,"Black","Female","High"
838,0,0,"White","Male","High"
839,0,0,"Other","Male","Medium"
840,0,1,"White","Female","Medium"
841,1,0,"White","Female","Low"
842,0,1,"White","Female","High"
843,0,1,"White","Female","Medium"
844,0,0,"White","Male","High"
845,1,1,"White","Female","Medium"
846,0,0,"Black","Female","Medium"
847,0,0,"White","Male","High"
848,0,0,"Black","Male","Low"
849,0,1,"White","Female","High"
850,0,0,"White","Female","Low"
851,1,0,"White","Female","High"
852,0,0,"White","Female","High"
853,0,1,"White","Male","High"
854,0,1,"White","Female","High"
855,1,1,"White","Female","High"
856,1,1,"White","Male","Medium"
857,1,1,"White","Female","Medium"
858,0,1,"White","Male","Medium"
